ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688256.SH,20251121,865.28,870.44,831.55,837.58,886.74,-49.15999999999997,-5.54,72573.06,9176505.152
688256.SH,20251124,840.18,855.41,816.79,846.28,837.58,8.699999999999932,1.04,59214.22,7394380.933
688256.SH,20251125,850.32,861.96,834.23,844.96,846.28,-1.3199999999999363,-0.16,58771.03,7414400.485
688256.SH,20251126,834.9,898.71,827.53,881.61,844.96,36.64999999999998,4.34,91472.9,11889049.61
688256.SH,20251127,912.02,930.93,880.5,883.42,881.61,1.8099999999999454,0.21,89364.17,12117075.987
688256.SH,20251128,878.49,903.3,865.75,892.57,883.42,9.150000000000091,1.04,58546.39,7708418.732
688256.SH,20251201,890.52,926.77,866.55,913.65,892.57,21.079999999999927,2.36,73684.03,9888480.775
688256.SH,20251202,918.72,923.42,886.83,891.05,913.65,-22.600000000000023,-2.47,46406.31,6242939.888
688256.SH,20251203,893.91,912.02,885.26,893.44,891.05,2.3900000000001,0.27,44919.65,6005556.71
688256.SH,20251204,886.0,918.25,866.75,918.05,893.44,24.6099999999999,2.75,70527.31,9414092.024
688256.SH,20251205,898.27,936.37,886.53,908.66,918.05,-9.389999999999986,-1.02,88022.66,11982010.116
688256.SH,20251208,895.25,966.87,893.92,950.78,908.66,42.120000000000005,4.64,98744.31,13837959.654
688256.SH,20251209,922.08,977.45,917.38,962.98,950.78,12.200000000000045,1.28,90594.17,12892588.911
688256.SH,20251210,962.98,973.5,919.39,952.84,962.98,-10.139999999999986,-1.05,62966.51,8864636.275
688256.SH,20251211,945.55,950.24,922.75,926.78,952.84,-26.06000000000006,-2.73,62072.59,8619204.1
688256.SH,20251212,926.78,944.21,891.77,901.29,926.78,-25.49000000000001,-2.75,91731.13,12503100.255
688256.SH,20251215,882.52,923.95,882.52,893.17,901.29,-8.120000000000005,-0.9,64108.76,8667825.206
688256.SH,20251216,884.59,893.24,846.76,854.29,893.17,-38.879999999999995,-4.35,73946.27,9503366.29
688256.SH,20251217,851.74,885.19,847.3,882.24,854.29,27.950000000000045,3.27,63136.57,8165521.986
688256.SH,20251218,871.78,878.33,858.38,863.06,882.24,-19.180000000000064,-2.17,38865.62,5022391.299
688256.SH,20251219,871.78,872.45,847.64,850.32,863.06,-12.739999999999895,-1.48,43265.54,5527000.531
688256.SH,20251222,855.02,870.21,843.62,861.57,850.32,11.25,1.32,64766.94,8285582.166
688256.SH,20251223,857.16,905.31,855.08,895.94,861.57,34.370000000000005,3.99,91435.03,12143932.52
688256.SH,20251224,895.25,901.96,872.45,889.35,895.94,-6.590000000000032,-0.74,59286.62,7830827.375
688256.SH,20251225,881.84,894.57,878.49,884.8,889.35,-4.550000000000068,-0.51,40510.27,5343991.086
688256.SH,20251226,873.12,894.68,865.14,874.39,884.8,-10.409999999999968,-1.18,47847.97,6276085.535
688256.SH,20251229,878.47,937.5,877.15,911.01,874.39,36.620000000000005,4.19,98352.62,13413872.87
688256.SH,20251230,911.27,964.99,911.27,949.44,911.01,38.430000000000064,4.22,91353.67,12869406.686
688256.SH,20251231,956.28,960.3,904.08,909.03,949.44,-40.41000000000008,-4.26,70267.42,9747441.408
688256.SH,20260105,922.08,941.17,903.15,932.14,909.03,23.110000000000014,2.54,65515.02,9038942.469
688256.SH,20260106,925.43,958.96,914.07,927.51,932.14,-4.6299999999999955,-0.5,69600.13,9668802.273
688256.SH,20260107,918.72,938.79,909.92,935.41,927.51,7.899999999999977,0.85,68366.43,9416481.263
688256.SH,20260108,944.88,996.51,939.51,968.35,935.41,32.940000000000055,3.52,149220.62,21582860.951
688256.SH,20260109,952.25,1013.95,932.81,999.87,968.35,31.519999999999982,3.26,102204.98,14899518.827
688256.SH,20260112,1029.0,1039.43,981.09,1012.6,999.87,12.730000000000018,1.27,94844.44,14379497.916
688256.SH,20260113,995.84,1019.31,938.83,944.27,1012.6,-68.33000000000004,-6.75,100029.88,14468557.793
688256.SH,20260114,952.25,972.36,930.85,965.08,944.27,20.81000000000006,2.2,89478.25,12769174.184
688256.SH,20260115,952.92,968.35,933.78,948.9,965.08,-16.180000000000064,-1.68,57838.7,8160415.979
688256.SH,20260116,952.25,969.02,944.23,954.97,948.9,6.07000000000005,0.64,72255.59,10308466.086
688256.SH,20260119,953.59,978.12,944.21,952.03,954.97,-2.9400000000000546,-0.31,69119.05,9918274.016
688256.SH,20260120,950.24,955.61,892.58,900.64,952.03,-51.389999999999986,-5.4,87374.01,11952219.696
688256.SH,20260121,895.49,930.79,895.2,907.91,900.64,7.269999999999982,0.81,75750.12,10345072.403
688256.SH,20260122,901.29,917.38,893.91,907.32,907.91,-0.5899999999999181,-0.06,59350.32,8030782.537
