trade_date,close,MA5,MA10,MA20,MA60,MA120,RSI,DIF,DEA,MACD,BB_MID,BB_UPPER,BB_LOWER,BB_WIDTH
2025-09-03,1405.0000,1482.7580,1377.9020,1118.0390,,,69.1127,207.6929,182.2033,50.9792,1118.0390,1713.8834,522.1946,106.5874
2025-09-04,1202.0000,1405.5760,1394.5020,1142.9890,,,55.0271,183.4594,182.4545,2.0098,1142.9890,1706.5747,579.4033,98.6161
2025-09-05,1281.4600,1363.3700,1398.3280,1172.4220,,,58.5852,168.7211,179.7078,-21.9735,1172.4220,1697.1605,647.6835,89.5136
2025-09-08,1212.7800,1316.2480,1381.1130,1197.6910,,,54.5667,149.7724,173.7208,-47.8967,1197.6910,1674.6392,720.7428,79.6446
2025-09-09,1228.0700,1265.8620,1371.0200,1216.6505,,,55.3018,134.4395,165.8645,-62.8500,1216.6505,1664.4739,768.8271,73.6158
2025-09-10,1273.0000,1239.4620,1361.1100,1237.3005,,,57.4788,124.4787,157.5873,-66.2174,1237.3005,1652.8001,821.8009,67.1623
2025-09-11,1387.0000,1276.4620,1341.0190,1259.2005,,,62.4731,124.3500,150.9399,-53.1797,1259.2005,1656.4914,861.9096,63.1021
2025-09-12,1488.0000,1317.7700,1340.5700,1287.4155,,,66.2547,130.8891,146.9297,-32.0812,1287.4155,1663.9949,910.8361,58.5016
2025-09-15,1440.0000,1363.2140,1339.7310,1311.9155,,,63.0052,130.6917,143.6821,-25.9809,1311.9155,1658.6400,965.1910,52.8578
2025-09-16,1440.1000,1405.6200,1335.7410,1337.2215,,,63.0093,129.0556,140.7568,-23.4024,1337.2215,1638.7346,1035.7084,45.0955
2025-09-17,1442.0000,1439.4200,1339.4410,1358.6715,,,63.0924,126.4546,137.8964,-22.8835,1358.6715,1621.6424,1095.7006,38.7100
2025-09-18,1420.9900,1446.2180,1361.3400,1377.9210,,,61.4486,121.2997,134.5770,-26.5547,1377.9210,1593.5405,1162.3015,31.2963
2025-09-19,1349.2400,1418.4660,1368.1180,1383.2230,,,56.0758,110.1550,129.6926,-39.0753,1383.2230,1589.9247,1176.5213,29.8870
2025-09-22,1398.0000,1410.0660,1386.6400,1383.8765,938.0465,,58.7175,104.0577,124.5656,-41.0158,1383.8765,1590.6835,1177.0695,29.8881
2025-09-23,1350.3800,1392.1220,1398.8710,1384.9455,951.1695,,55.2243,94.2961,118.5117,-48.4313,1384.9455,1590.7769,1179.1141,29.7241
2025-09-24,1374.0000,1378.5220,1408.9710,1385.0405,964.9845,,56.6034,87.4577,112.3009,-49.6865,1385.0405,1590.8487,1179.2323,29.7187
2025-09-25,1386.6900,1371.6620,1408.9400,1374.9795,978.9743,,57.3632,82.1156,106.2639,-48.2965,1374.9795,1557.3718,1192.5872,26.5302
2025-09-26,1339.0000,1369.6140,1394.0400,1367.3050,992.1665,,53.5675,73.1901,99.6491,-52.9180,1367.3050,1541.6161,1192.9939,25.4970
2025-09-29,1323.5000,1354.7140,1382.3900,1361.0605,1005.2018,,52.3549,64.1266,92.5446,-56.8359,1361.0605,1532.0576,1190.0634,25.1270
2025-09-30,1325.0000,1349.6380,1370.8800,1353.3105,1018.2390,,52.4670,56.4145,85.3186,-57.8082,1353.3105,1515.4297,1191.1913,23.9589
2025-10-09,1332.7900,1341.3960,1359.9590,1349.7000,1031.5355,,53.0846,50.3508,78.3250,-55.9485,1349.7000,1510.1803,1189.2197,23.7801
2025-10-10,1247.0800,1313.4740,1342.5680,1351.9540,1043.5952,,46.0028,38.1889,70.2978,-64.2178,1351.9540,1504.7835,1199.1245,22.6087
2025-10-13,1262.1100,1298.0960,1333.8550,1350.9865,1055.3973,,47.3298,29.4242,62.1231,-65.3978,1350.9865,1505.9254,1196.0476,22.9372
2025-10-14,1196.0000,1272.5960,1313.6550,1350.1475,1065.9130,,42.3948,16.9481,53.0881,-72.2799,1350.1475,1508.3842,1191.9108,23.4399
2025-10-15,1242.0000,1255.9960,1302.8170,1350.8440,1077.3947,,46.5694,10.6498,44.6004,-67.9012,1350.8440,1506.9262,1194.7618,23.1088
2025-10-16,1274.0000,1244.2380,1292.8170,1350.8940,1088.9582,,49.3208,8.1466,37.3097,-58.3261,1350.8940,1506.8718,1194.9162,23.0925
2025-10-17,1247.6800,1244.3580,1278.9160,1343.9280,1100.0462,,47.1693,3.9930,30.6463,-53.3067,1343.9280,1505.4615,1182.3945,24.0390
2025-10-20,1281.1200,1248.1600,1273.1280,1333.5840,1111.6878,,50.1450,3.3608,25.1892,-43.6569,1333.5840,1482.2555,1184.9125,22.2965
2025-10-21,1368.9600,1282.7520,1277.6740,1330.0320,1124.8038,,56.9970,9.8343,22.1183,-24.5678,1330.0320,1471.2038,1188.8602,21.2283
2025-10-22,1429.5000,1320.2520,1288.1240,1329.5020,1138.7300,,60.9777,19.6236,21.6193,-3.9915,1329.5020,1469.0036,1190.0004,20.9855
2025-10-23,1398.9000,1345.2320,1294.7350,1327.3470,1152.1190,,58.0526,24.6285,22.2211,4.8147,1327.3470,1460.7287,1193.9653,20.0975
2025-10-24,1525.0000,1400.6960,1322.5270,1332.5475,1167.5318,,65.4152,38.3284,25.4426,25.7715,1332.5475,1487.6451,1177.4499,23.2784
2025-10-27,1530.6800,1450.6080,1349.3840,1341.6195,1181.8215,,65.7072,49.0782,30.1697,37.8169,1341.6195,1520.2660,1162.9730,26.6315
2025-10-28,1478.5800,1472.5320,1377.6420,1345.6485,1195.1478,,60.6493,52.7850,34.6928,36.1844,1345.6485,1533.0681,1158.2289,27.8557
2025-10-29,1461.0000,1478.8320,1399.5420,1351.1795,1207.6515,,58.9990,53.6852,38.4913,30.3879,1351.1795,1545.5859,1156.7731,28.7758
2025-10-30,1422.0000,1483.4520,1414.3420,1353.5795,1219.9398,,55.3977,50.6676,40.9265,19.4822,1353.5795,1550.3430,1156.8160,29.0731
2025-10-31,1375.0000,1453.4520,1427.0740,1352.9950,1231.0315,,51.3313,43.9767,41.5366,4.8803,1352.9950,1549.4135,1156.5765,29.0346
2025-11-03,1346.6000,1416.6360,1433.6220,1353.3750,1241.9898,,48.9912,35.9679,40.4228,-8.9099,1353.3750,1549.7089,1157.0411,29.0140
2025-11-04,1339.6000,1388.8400,1430.6860,1354.1800,1252.8322,,48.4054,28.7249,38.0832,-18.7167,1354.1800,1550.1298,1158.2302,28.9400
2025-11-05,1348.0000,1366.2400,1422.5360,1355.3300,1263.7155,,49.1905,23.3929,35.1452,-23.5046,1355.3300,1550.8282,1159.8318,28.8488
2025-11-06,1480.0000,1377.8400,1430.6460,1362.6905,1276.8098,,59.5950,29.4787,34.0119,-9.0663,1362.6905,1565.5614,1159.8196,29.7750
2025-11-07,1432.5000,1389.3400,1421.3960,1371.9615,1288.9682,,55.2135,30.1217,33.2338,-6.2243,1371.9615,1569.4629,1174.4601,28.7911
2025-11-10,1391.5000,1398.3200,1407.4780,1378.4310,1300.6132,,51.6814,27.0115,31.9894,-9.9557,1378.4310,1569.1414,1187.7206,27.6706
2025-11-11,1330.0000,1396.4000,1392.6200,1385.1310,1310.9898,,46.8410,19.3610,29.4637,-20.2054,1385.1310,1557.3771,1212.8849,24.8707
2025-11-12,1365.7800,1399.9560,1383.0980,1391.3200,1319.6048,,49.7875,16.0006,26.7711,-21.5410,1391.3200,1550.2958,1232.3442,22.8525
2025-11-13,1384.9000,1380.9360,1379.3880,1396.8650,1328.3532,,51.3397,14.7107,24.3590,-19.2966,1396.8650,1546.0456,1247.6844,21.3593
2025-11-14,1325.0100,1359.4380,1374.3890,1400.7315,1334.6200,,46.4918,8.7549,21.2382,-24.9666,1400.7315,1537.0890,1264.3740,19.4695
2025-11-17,1303.1000,1341.7580,1370.0390,1401.8305,1340.9433,,44.8242,2.2411,17.4388,-30.3953,1401.8305,1534.4315,1269.2295,18.9183
2025-11-18,1326.7000,1341.0980,1368.7490,1399.7175,1347.2217,,47.0282,-1.0052,13.7500,-29.5104,1399.7175,1535.8244,1263.6106,19.4478
2025-11-19,1332.0000,1334.3420,1367.1490,1394.8425,1353.8553,,47.5350,-3.1144,10.3771,-26.9830,1394.8425,1533.4199,1256.2651,19.8700
2025-11-20,1322.3000,1321.8220,1351.3790,1391.0125,1359.0103,,46.6552,-5.5052,7.2007,-25.4116,1391.0125,1533.3021,1248.7229,20.4584
2025-11-21,1249.0000,1306.6200,1333.0290,1377.2125,1362.5603,,40.5474,-13.1628,3.1280,-32.5816,1377.2125,1518.3181,1236.1069,20.4915
